method,n,auc_log10_loss_iter_median,auc_log10_loss_iter_iqr,auc_log10_loss_iter_mean,auc_log10_loss_iter_std,auc_loss_log_vs_elapsed_sec_median,auc_loss_log_vs_elapsed_sec_iqr,auc_loss_log_vs_elapsed_sec_mean,auc_loss_log_vs_elapsed_sec_std,auc_loss_log_vs_cum_evals_median,auc_loss_log_vs_cum_evals_iqr,auc_loss_log_vs_cum_evals_mean,auc_loss_log_vs_cum_evals_std
D-LBFGS,10,317.30284831703386,"[199.6, 418.9]",289.8137012522464,152.99997662929368,1.7262076868672371,"[1.097, 2.219]",1.58060476289847,0.7704500668957907,2113.6431894864018,"[1333, 2735]",1932.5149396225356,963.9847630532587
GD,10,399.8935658323441,"[359.6, 459.3]",396.61006932015664,76.52041572455639,4.035428598197443,"[3.597, 4.544]",3.949271039567005,0.7396776892350124,5496.750975031709,"[4903, 6223]",5398.309631881789,1022.4880022908543
L-BFGS,10,318.9320854354887,"[204.7, 421.7]",294.7630136851845,147.3219587273694,0.6392672759021807,"[0.4319, 0.8245]",0.598320329390727,0.26903104728169425,710.7259297129381,"[466.8, 927.3]",660.0141691458346,312.07457473136714
PGD (Diag GN precond),10,486.2477118596797,"[355.6, 609]",491.126304789001,166.87277587557415,15.634039666009588,"[11.6, 19.49]",15.821160909474717,5.196126729603012,1091.4569353936981,"[840.6, 1313]",1087.6298860654892,334.31618631616834
