method,n,ls_total_median,ls_total_iqr,ls_total_mean,ls_total_std,ls_mean_per_iter_median,ls_mean_per_iter_iqr,ls_mean_per_iter_mean,ls_mean_per_iter_std
D-LBFGS,10,3825.5,"[3378, 5907]",4391.9,1710.6655917117953,9.539900249376558,"[8.424, 14.73]",10.952369077306733,4.265998981824926
GD,10,5092.0,"[5040, 5466]",5289.6,406.1100562381801,12.73,"[12.6, 13.66]",13.224,1.01527514059545
L-BFGS,10,479.5,"[471, 495]",495.0,46.51881339845203,1.1957605985037407,"[1.175, 1.234]",1.2344139650872819,0.11600701595623947
PGD (Diag GN precond),10,481.0,"[468.2, 637.5]",682.7,499.69436214105474,1.2025000000000001,"[1.171, 1.594]",1.70675,1.2492359053526367
