method,n,final_loss_median,final_loss_iqr,final_loss_mean,final_loss_std,final_grad_norm_median,final_grad_norm_iqr,final_grad_norm_mean,final_grad_norm_std,final_time_sec_median,final_time_sec_iqr,final_time_sec_mean,final_time_sec_std,final_work_median,final_work_iqr,final_work_mean,final_work_std
D-LBFGS,10,5.870319604873657,"[3.104, 10.9]",6.699393248558044,4.616165338481269,0.0445163808763027,"[0.02438, 0.04855]",0.05616148267872627,0.06466921363201927,3.174565553665161,"[2.974, 4.766]",3.6526588201522827,1.2496369649398815,4226.5,"[3779, 6308]",4792.9,1710.6655917117953
GD,10,8.478700876235962,"[5.04, 12.6]",8.762590694427491,4.101324581680982,5.433237791061401,"[4.226, 8.633]",7.557100176811218,5.099849233992843,3.9740995168685913,"[3.953, 4.225]",4.108195233345032,0.2707900439927881,5492.0,"[5440, 5866]",5689.6,406.1100562381801
L-BFGS,10,5.868695020675659,"[3.105, 10.9]",6.70006582736969,4.616644872121405,0.0694514494389295,"[0.05192, 0.1197]",0.11020115893334145,0.10177597529724332,0.787903904914856,"[0.7747, 0.8001]",0.7919599533081054,0.03860202397426308,880.5,"[872, 896]",896.0,46.51881339845203
PGD (Diag GN precond),10,12.889058113098145,"[6.818, 30.06]",23.34420065879822,26.659020865157142,9.994447708129885,"[6.991, 22.37]",29.945617365837098,50.579243136751984,12.860270500183105,"[12.76, 12.93]",12.951775646209716,0.37198950830289457,881.0,"[868.2, 1038]",1082.7,499.69436214105474
