method,n,final_loss_median,final_loss_iqr,final_loss_mean,final_loss_std,final_grad_norm_median,final_grad_norm_iqr,final_grad_norm_mean,final_grad_norm_std,final_time_sec_median,final_time_sec_iqr,final_time_sec_mean,final_time_sec_std,final_work_median,final_work_iqr,final_work_mean,final_work_std
D-LBFGS,10,2.0928688049316406,"[2.033, 6.31]",5.626010584831238,7.642494807465892,4.249527215957642,"[4.02, 6.459]",7.5197511434555055,8.58716612605484,2.895287871360779,"[2.802, 3.157]",2.9857569456100466,0.32686094117283043,3719.5,"[3556, 4024]",3814.4,439.3159328875848
GD,10,63.686079025268555,"[46.91, 169.3]",100.26513214111328,68.16324785156704,59.15442657470703,"[41.3, 122.2]",94.84274883270264,77.10612155471429,3.8034528493881226,"[3.707, 3.835]",3.789715886116028,0.11294582719946279,5170.0,"[5152, 5229]",5190.1,62.927559763411914
L-BFGS,10,4.521797299385071,"[3.246, 8.839]",8.318896698951722,9.738951758169346,7.028456926345825,"[3.822, 8.773]",7.377987408638001,4.257755125193257,0.7451919317245483,"[0.7332, 0.7533]",0.745447039604187,0.013308558976575287,828.5,"[825.5, 830]",827.5,4.089281382128433
PGD (Diag GN precond),10,12.959999084472656,"[11.64, 16.13]",39.63664932250977,58.26388648840293,17.151742935180664,"[13.65, 18.52]",20.400432968139647,13.057864250383258,15.246445178985596,"[15.09, 15.36]",15.215067553520203,0.19281647357611462,4242.0,"[4135, 4278]",4148.4,306.2116914815631
