method,n,auc_log10_loss_iter_median,auc_log10_loss_iter_iqr,auc_log10_loss_iter_mean,auc_log10_loss_iter_std,auc_loss_log_vs_elapsed_sec_median,auc_loss_log_vs_elapsed_sec_iqr,auc_loss_log_vs_elapsed_sec_mean,auc_loss_log_vs_elapsed_sec_std,auc_loss_log_vs_cum_evals_median,auc_loss_log_vs_cum_evals_iqr,auc_loss_log_vs_cum_evals_mean,auc_loss_log_vs_cum_evals_std
D-LBFGS,10,331.549094606647,"[310.1, 479.4]",397.75298419273014,134.26122001135818,2.4830910799520356,"[2.271, 3.4]",2.852421401431319,0.8389259443096556,3101.0365518947547,"[2830, 4254]",3577.2426031552213,1056.875527857402
GD,10,909.1305788701596,"[855, 930.6]",890.6976849555209,47.59155337029411,8.327859392636164,"[7.931, 8.494]",8.157281824699787,0.4172570790093053,11630.262742933492,"[1.094e+04, 1.191e+04]",11393.589025248017,612.512920421184
L-BFGS,10,519.9335111039632,"[453.5, 582.8]",531.2902160954111,102.14412113295282,0.9902470970120311,"[0.872, 1.112]",1.0118582909855134,0.18003379033627182,1085.1351513966151,"[961.3, 1213]",1109.3587754341781,204.65129909227127
PGD (Diag GN precond),10,559.1017890774359,"[540.4, 592.1]",620.5213521011428,144.38905095366349,21.145308826025683,"[20.47, 22.38]",23.36475330402048,5.237454922016466,4979.831585900251,"[4864, 5271]",5459.901187533775,1146.5607165605088
